currency,description,is_taxable,name,plan_id,price,url,accessed_on
CAD,20% off our regular price for Mac students only! ,1,McMaster Student Monthly,payment_plan_664,12.0,https://widget.socialbicycles.com/24/664,2019-04-15 22:23:15.614690
CAD,9¢/minute - the most flexible SoBi plan. ,1,Pay As You Go,payment_plan_739,0.0,https://widget.socialbicycles.com/24/739,2019-04-15 22:23:15.614690
CAD,Prepaid credit cards are allowed. Rider must carry positive balance and have a confirmed email address. ,1,Prepaid Pay As You Go,payment_plan_747,0.0,https://widget.socialbicycles.com/24/747,2019-04-15 22:23:15.614690
CAD,,1,Monthly Member,payment_plan_51,15.0,https://widget.socialbicycles.com/24/51,2019-04-15 22:23:15.614690
USD,"Monthly Membership includes unlimited 60-minute trips. $4 per each additional 30 minutes. Plus One-Time $15 Enrollment Fee, Auto-Renew Enabled.",0,Local30,bcycle_austin_218,11.91,austinbcycle.com,2019-04-15 22:23:15.614690
USD,ONLY FOR RIDERS AGE 13-17. Annual Membership includes unlimited 60-minute trips. $4 per each additional 30 minutes. Comes with helmet. ,0,Local365 Youth (age 13-17 riders),bcycle_austin_270,86.6,austinbcycle.com,2019-04-15 22:23:15.614690
USD,Annual Membership includes unlimited 60-minute trips. $4 per each additional 30 minutes. B-connected access to other B-cycle cities included.,0,Local365,bcycle_austin_159,86.6,austinbcycle.com,2019-04-15 22:23:15.614690
USD,24-Hour Access Pass includes unlimited 60-minute trips. $4 per each additional 30 minutes.,0,Explorer,bcycle_austin_168,12.99,austinbcycle.com,2019-04-15 22:23:15.614690
USD,Non-students/staff will be charged $86.60 for a Local365. HT Ram mem includes unlimited 60-min trips. $4 per each additional 30 mins. Only valid for current Huston-Tillotson University students/staff.,0,HT Ram Membership,bcycle_austin_463,0.0,austinbcycle.com,2019-04-15 22:23:15.614690
USD,$18 + tax. 72-HR Access Pass includes unlimited 60-min trips.,0,3-Day Explorer,bcycle_austin_483,19.49,austinbcycle.com,2019-04-15 22:23:15.614690
USD,$1 to start/$2 for 1st 30 min of riding/$4 each add'l 30 min,0,Single Trip Ride,bcycle_austin_507,1.09,austinbcycle.com,2019-04-15 22:23:15.614690
USD,Annual Membership includes unlimited 60-min. trips & Guest Pass w/ 8 Trips for a Friend. $4 per each add'l 30 mins. Main member pass includes B-connected access to other B-cycle cities.,0,Local365+Guest Pass,bcycle_austin_350,97.43,austinbcycle.com,2019-04-15 22:23:15.614690
USD,$1.09/mo. MUST USE UT ISSUED E-MAIL. Non-students will be charged $12.99 for day pass. Student membership includes unlimited 60-min. trips. $4 each add'l 30 min. Only valid for current UT students.,0,U.T. Student Membership,bcycle_austin_381,1.09,austinbcycle.com,2019-04-15 22:23:15.614690
USD,,0,7 Day,bcycle_aventura_325,26.75,aventura.bcycle.com,2019-04-15 22:23:15.614690
USD,,0,Annual,bcycle_aventura_326,48.15,aventura.bcycle.com,2019-04-15 22:23:15.614690
USD,,0,Annual,bcycle_battlecreek_254,30.0,battlecreek.bcycle.com,2019-04-15 22:23:15.614690
USD,,0,30 Day,bcycle_battlecreek_150,15.0,battlecreek.bcycle.com,2019-04-15 22:23:15.614690
USD,A three day pass with unlimited 30 minute trips.,0,Visiting Voyager Pass,bcycle_bikelnk_531,10.0,bikelnk.bcycle.com,2019-04-15 22:23:15.614690
USD,30 minute single ride pass to BikeLNK,0,Quick Tripper Pass,bcycle_bikelnk_472,3.0,bikelnk.bcycle.com,2019-04-15 22:23:15.614690
